FPR,TPR,Threshold
0.0,0.0,1.9295500484425427
0.0,0.009433962264150943,0.9295500484425427
0.0,0.018867924528301886,0.9257021135251228
0.020833333333333332,0.018867924528301886,0.9141346463002205
0.020833333333333332,0.09433962264150944,0.8315576404080961
0.0625,0.09433962264150944,0.8232185198613887
0.0625,0.10377358490566038,0.8181584214107074
0.08333333333333333,0.10377358490566038,0.8109200458571425
0.08333333333333333,0.12264150943396226,0.8074486895394548
0.10416666666666667,0.12264150943396226,0.8071704594243215
0.10416666666666667,0.14150943396226415,0.8030347077122749
0.125,0.14150943396226415,0.8022934491401327
0.125,0.1509433962264151,0.8013814745549556
0.14583333333333334,0.1509433962264151,0.8001454873438987
0.14583333333333334,0.20754716981132076,0.7934100926236219
0.16666666666666666,0.20754716981132076,0.7911412606412368
0.16666666666666666,0.32075471698113206,0.7791372055755685
0.1875,0.32075471698113206,0.777996159318623
0.1875,0.3867924528301887,0.7722462927723778
0.20833333333333334,0.3867924528301887,0.7713921842645131
0.20833333333333334,0.5660377358490566,0.7591901981275698
0.22916666666666666,0.5660377358490566,0.7586774283727197
0.22916666666666666,0.5849056603773585,0.7547675972727582
0.25,0.5849056603773585,0.7539556155483997
0.25,0.5943396226415094,0.7535287215302159
0.2708333333333333,0.5943396226415094,0.7533611560492819
0.2708333333333333,0.6415094339622641,0.7451393877165908
0.2916666666666667,0.6415094339622641,0.7449320989640447
0.2916666666666667,0.6886792452830188,0.7421130045222183
0.3125,0.6886792452830188,0.7408648588082349
0.3125,0.7452830188679245,0.7367694011314643
0.3333333333333333,0.7452830188679245,0.7330868385784268
0.3333333333333333,0.8584905660377359,0.7177094066720259
0.3541666666666667,0.8584905660377359,0.7171574350660842
0.3541666666666667,0.8679245283018868,0.714123609377366
0.375,0.8679245283018868,0.7134912187626233
0.375,0.9056603773584906,0.692594021898126
0.4166666666666667,0.9056603773584906,0.6731340068172581
0.4166666666666667,0.9433962264150944,0.5967212615261975
0.4583333333333333,0.9433962264150944,0.58889985441496
0.4583333333333333,0.9622641509433962,0.3851607388314628
0.6666666666666666,0.9622641509433962,0.13563605669436157
0.6666666666666666,0.9716981132075472,0.1329154698731603
0.6875,0.9716981132075472,0.13183105654685506
0.6875,0.9905660377358491,0.13107041146835924
0.75,0.9905660377358491,0.11062545405454811
0.75,1.0,0.10754665794726537
1.0,1.0,0.07386897006974136
